source,target,value
Khan Younis,IDPs at Government Shelters,3000.0
Khan Younis,IDPs at UNRWA Shelters,122000.0
Khan Younis,IDPs at Government Shelters,5000.0
Khan Younis,IDPs at UNRWA Shelters,133000.0
Khan Younis,IDPs at Government Shelters,5000.0
Khan Younis,IDPs at UNRWA Shelters,136000.0
Khan Younis,IDPs at Government Shelters,4000.0
Khan Younis,IDPs at UNRWA Shelters,136000.0
Khan Younis,IDPs at Government Shelters,4000.0
Khan Younis,IDPs at UNRWA Shelters,141000.0
Khan Younis,IDPs at Government Shelters,4000.0
Khan Younis,IDPs at UNRWA Shelters,143000.0
Khan Younis,IDPs at Government Shelters,7000.0
Khan Younis,IDPs at UNRWA Shelters,144000.0
Khan Younis,IDPs at Government Shelters,7000.0
Khan Younis,IDPs at UNRWA Shelters,147000.0
Khan Younis,IDPs at Government Shelters,7000.0
Khan Younis,IDPs at UNRWA Shelters,148000.0
Khan Younis,IDPs at Government Shelters,7000.0
Khan Younis,IDPs at UNRWA Shelters,152000.0
Khan Younis,IDPs at Government Shelters,7000.0
Khan Younis,IDPs at UNRWA Shelters,153000.0
Khan Younis,IDPs at Government Shelters,7000.0
Khan Younis,IDPs at UNRWA Shelters,155000.0
Khan Younis,IDPs at Government Shelters,13000.0
Khan Younis,IDPs at UNRWA Shelters,155000.0
Khan Younis,IDPs at Government Shelters,13000.0
Khan Younis,IDPs at UNRWA Shelters,156000.0
Khan Younis,IDPs at Government Shelters,13000.0
Khan Younis,IDPs at UNRWA Shelters,156000.0
Khan Younis,IDPs at Government Shelters,13000.0
Khan Younis,IDPs at UNRWA Shelters,156000.0
Khan Younis,IDPs at Government Shelters,13000.0
Khan Younis,IDPs at UNRWA Shelters,157000.0
Khan Younis,IDPs at Government Shelters,13000.0
Khan Younis,IDPs at UNRWA Shelters,157000.0
Khan Younis,IDPs at Government Shelters,22000.0
Khan Younis,IDPs at UNRWA Shelters,158000.0
Khan Younis,IDPs at Government Shelters,22000.0
Khan Younis,IDPs at UNRWA Shelters,159000.0
Khan Younis,IDPs at Government Shelters,23000.0
Khan Younis,IDPs at UNRWA Shelters,159000.0
Khan Younis,IDPs at Government Shelters,23000.0
